Error: That port is already in use.
[15/Jul/2019 08:49:23] "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
[15/Jul/2019 08:49:23] "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 304 0
[15/Jul/2019 08:49:24] "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 304 0
[15/Jul/2019 08:49:24] "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 304 0
[15/Jul/2019 08:49:24] "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 304 0
[15/Jul/2019 10:20:15] "GET /admin/ HTTP/1.1" 200 8422
[15/Jul/2019 10:20:15] "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
[15/Jul/2019 10:20:15] "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
[15/Jul/2019 10:20:15] "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
[15/Jul/2019 10:20:18] "GET /admin/firetemplate/system/ HTTP/1.1" 200 6090
[15/Jul/2019 10:20:18] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[15/Jul/2019 10:20:20] "GET /admin/firetemplate/system/?system_name=Centos HTTP/1.1" 200 5713
[15/Jul/2019 10:20:20] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[15/Jul/2019 10:20:21] "GET /admin/firetemplate/system/?system_name=centos HTTP/1.1" 200 6087
[15/Jul/2019 10:20:22] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[15/Jul/2019 10:20:23] "GET /admin/firetemplate/system/? HTTP/1.1" 200 6090
[15/Jul/2019 10:20:23] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[15/Jul/2019 10:20:24] "GET /admin/firetemplate/system/?system_name=Centos HTTP/1.1" 200 5713
[15/Jul/2019 10:20:24] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[15/Jul/2019 10:20:24] "GET /admin/firetemplate/system/?system_name=Centos HTTP/1.1" 200 5713
[15/Jul/2019 10:20:24] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[15/Jul/2019 10:20:26] "GET /admin/firetemplate/system/? HTTP/1.1" 200 6090
[15/Jul/2019 10:20:26] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[15/Jul/2019 10:20:33] "GET /admin/ HTTP/1.1" 200 8422
[15/Jul/2019 10:20:36] "GET /admin/firetemplate/system/ HTTP/1.1" 200 6090
[15/Jul/2019 10:20:36] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[15/Jul/2019 10:20:39] "GET /admin/firetemplate/ HTTP/1.1" 200 2740
[15/Jul/2019 10:20:40] "GET /admin/firetemplate/firewalltemplate/ HTTP/1.1" 200 6292
[15/Jul/2019 10:20:40] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
